name,level,size,law,moral,ac,hp,perception,fortitude,reflex,willpower,strength,dexterity,constitution,intelligence,wisdom,charisma,acrobatics,arcana,athletics,crafting,deception,diplomacy,intimidation,medicine,nature,occultism,performance,religion,society,stealth,survival,thievery
Deep End Sarglagon,8,4,3,1,27,120,18,18,13,16,6,3,4,2,4,3,0,14,18,0,15,15,17,0,0,0,0,0,0,15,0,0
Hellknight Paravicar,11,3,3,2,30,145,20,19,19,24,4,2,2,0,3,5,0,16,0,0,21,0,23,0,0,0,0,21,16,0,0,0
Glorzia,1,3,2,1,17,34,7,9,8,5,4,2,3,-1,1,0,6,0,7,0,0,0,4,0,0,0,0,0,0,6,0,0
Bugaboo,6,3,2,1,24,95,14,11,17,14,4,5,3,-1,2,4,15,0,0,0,14,0,14,0,0,0,0,0,0,15,0,13
Ixusoth,15,4,2,1,36,275,29,23,25,29,4,6,4,9,6,4,0,30,0,30,27,0,0,25,25,30,0,27,28,0,0,25
Mistress Dusklight,11,3,1,1,30,195,19,17,23,20,0,5,1,3,2,7,21,19,0,0,24,22,24,0,0,19,26,0,19,21,0,21
Bloom Cultist,5,3,1,1,22,75,13,11,12,15,3,3,2,0,4,0,0,0,0,0,11,0,11,0,13,0,0,13,0,0,0,0
Thresholder Hermeticist,16,3,1,1,39,290,29,28,30,26,2,5,3,5,3,1,29,0,0,31,0,0,25,27,0,31,0,0,0,27,27,0
Mummy Guardian,6,3,3,1,23,110,16,14,10,16,4,0,2,-2,4,2,0,0,15,0,0,0,0,0,0,0,0,0,0,11,0,0
Interlocutor,12,4,3,1,33,215,24,23,21,26,7,3,5,2,6,5,0,0,25,22,0,0,25,26,0,0,0,22,0,19,0,0
Balor,20,4,1,1,45,480,36,39,35,34,9,7,9,6,6,8,35,0,37,0,36,32,38,0,0,0,0,32,32,33,0,0
Quintessivore,10,3,2,1,28,180,17,22,20,21,3,6,6,7,3,3,0,25,17,0,0,0,19,0,0,0,0,0,0,20,0,0
Faithless Ecclesiarch,6,3,2,1,21,93,16,12,13,16,3,3,2,2,4,4,0,0,11,0,14,0,14,0,0,0,0,14,0,13,0,0
Shristi Melipdra,7,3,3,3,26,100,18,13,18,16,4,3,2,0,3,1,16,0,17,0,0,0,0,0,0,0,0,0,13,16,0,0
Blood Ooze,4,4,2,2,12,90,8,15,6,6,5,-4,5,-5,0,-5,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0
Usij Cultist,1,3,2,1,16,21,8,7,5,8,4,0,2,0,3,1,0,0,7,0,6,0,0,0,0,0,0,6,0,0,0,0
Thorn Guardian,16,2,2,2,39,330,27,27,30,35,6,9,6,-5,5,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hatred Siktempora,18,3,2,1,42,240,33,28,30,33,9,6,4,4,7,6,0,0,35,0,32,0,32,0,0,0,0,0,0,32,0,0
Zuntishan Guard,6,3,2,3,22,120,15,14,12,15,4,2,2,0,3,1,0,0,14,0,0,11,0,0,0,0,0,13,0,0,13,0
Desiccated Giant Crawling Hand,3,3,2,1,19,45,9,10,8,7,3,1,2,-4,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,9,0
Giant Skunk,1,4,2,2,16,21,6,8,9,4,3,4,3,-4,1,0,7,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0
Wight Cultist,12,3,2,1,32,235,22,24,20,22,7,4,6,-1,6,4,0,0,25,0,0,0,24,0,0,17,0,0,0,22,0,0
Drunkard,2,3,2,2,17,40,6,10,8,6,3,2,4,-1,0,2,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0
Giant Toad,2,4,2,2,17,36,8,9,8,6,5,2,3,-4,2,-2,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0
Skeletal Titan,13,6,2,1,33,210,19,23,24,21,9,3,4,-5,2,-1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Gold Defender,13,5,2,2,34,190,21,26,21,22,8,-1,4,-5,0,-5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Invisible Stalker,7,3,2,2,26,70,16,14,18,11,3,6,3,-2,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0
Old Man Statue,14,5,3,2,36,160,24,28,19,22,8,-1,8,-5,0,-5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Spellskein,0,1,2,2,16,15,2,5,9,4,-1,3,1,-4,0,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Brinna,3,3,2,2,17,50,5,9,8,5,3,1,2,3,0,0,0,0,8,15,0,5,0,0,0,0,0,0,8,0,0,0
Bloodthirsty Razortoothed Shark,3,4,2,2,19,45,9,10,8,7,5,1,4,-4,0,-4,0,0,12,0,0,0,0,0,0,0,0,0,0,10,7,0
Scarlet Triad Sneak,6,3,1,1,25,95,12,10,14,12,2,4,2,0,0,2,14,0,10,0,12,0,10,0,0,0,0,0,0,16,0,14
Wihsaak,6,3,2,1,24,105,14,14,15,14,4,5,4,1,2,3,13,0,0,0,15,0,15,0,0,0,0,0,0,15,0,0
Brittle Ravener Husk,11,6,1,1,30,250,22,24,18,22,7,0,5,-5,3,3,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Angazhani,8,4,1,1,26,180,18,19,16,14,6,4,5,-1,4,3,0,0,20,0,0,0,15,0,0,0,0,16,0,0,16,0
Lunar Naga,6,4,2,2,24,100,16,15,16,17,2,4,4,1,4,3,14,0,0,0,15,15,0,0,13,0,0,0,0,0,14,0
Ferocious Zombie Grindylow,2,2,2,1,15,60,7,9,5,5,3,3,3,-5,1,-1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Werebear,4,4,3,3,23,75,11,12,10,10,5,2,4,1,3,-1,0,0,12,0,0,0,0,9,11,0,0,0,0,11,11,0
Wood Giant,6,4,1,3,24,120,15,17,14,13,5,5,4,2,3,1,13,0,15,0,0,0,0,0,14,0,0,0,0,13,13,0
Umbral Drake,3,2,1,1,18,40,7,8,11,7,1,4,1,-1,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
Rosethorn Ram,2,3,2,2,18,30,8,9,10,6,3,4,3,-5,2,1,8,0,7,0,0,0,0,0,0,0,0,0,0,8,8,0
Enormous Dragonfly,9,4,2,2,27,165,16,17,21,14,6,4,2,-5,3,0,17,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0
Skeleton Corporal,1,3,2,1,18,14,4,4,10,4,2,4,0,-5,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Megalictis,3,3,2,2,19,42,10,8,11,6,3,4,3,-4,1,0,9,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0
Dimari-Diji,25,6,2,2,52,550,43,42,36,48,12,-1,7,7,12,10,0,42,43,0,0,41,0,0,50,0,0,0,0,36,0,0
Fleshforge Prototype Breath Weapon,5,3,2,2,22,75,9,15,12,9,5,3,4,-3,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0
Unshadowed Mariama,18,3,1,1,39,270,30,30,27,33,1,3,4,5,4,3,0,0,0,0,31,0,29,0,0,35,0,31,0,31,0,0
Jamandi Aldori,14,3,1,3,36,260,23,23,27,24,3,5,2,1,3,4,29,0,27,0,0,24,26,0,0,0,0,0,23,0,0,0
Hungry Blade Recruit,1,3,3,1,17,17,6,4,9,6,3,4,1,0,1,0,7,0,6,0,0,0,3,0,0,0,0,0,0,7,0,7
Almiraj,1,2,2,2,16,20,8,6,11,5,2,4,1,-3,2,3,7,0,0,0,0,0,0,0,0,7,0,0,0,7,5,0
Belmazog,9,3,1,1,28,145,18,18,16,18,5,3,3,-1,3,6,16,0,18,0,19,0,21,0,0,0,17,18,12,0,14,0
Neothelid,15,6,1,1,37,345,29,27,23,29,9,4,6,8,6,8,25,0,28,0,29,27,29,0,0,29,0,0,0,0,0,0
Banshee,17,3,1,1,39,250,32,25,29,32,-5,6,2,0,7,7,31,0,0,0,0,0,32,0,0,25,0,0,0,0,0,0
Prowler Wight,9,3,3,1,28,155,18,17,20,16,4,5,2,1,3,3,18,0,0,0,18,0,0,0,0,0,0,0,0,20,0,0
Calcifda,10,3,3,1,31,140,21,19,17,23,5,4,5,7,5,3,0,0,19,0,0,0,0,0,19,21,0,0,0,0,0,0
Gray Death,20,5,2,1,44,330,33,31,35,33,-5,7,4,6,7,10,0,0,0,0,0,0,40,0,0,34,38,0,34,0,0,0
Twigjack,3,1,1,1,19,50,9,9,11,7,2,4,2,0,2,1,11,0,9,0,0,0,0,0,7,0,0,0,0,11,0,0
Rune Giant,16,6,3,1,38,330,28,33,26,28,9,2,7,2,6,4,0,28,32,28,0,0,28,0,0,0,0,0,27,0,0,0
Veteran Reclaimer,11,3,1,3,29,195,24,20,23,19,4,5,4,0,3,0,20,0,19,0,0,0,15,19,18,0,0,20,0,0,22,0
Greater Metallic Sod Hound,5,2,2,2,22,71,12,15,8,9,5,-1,4,-4,3,-1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,12,0
Monkey,-1,1,2,2,14,9,6,2,7,4,0,3,0,-4,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Storm Lord,9,4,2,2,30,120,18,15,20,16,4,7,4,-1,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
Elemental Tsunami,11,5,2,2,31,195,22,21,22,19,6,6,6,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,0
Shredskin,2,1,2,1,18,30,11,6,10,8,2,4,0,-1,0,2,10,0,8,0,8,0,0,0,0,0,0,0,0,8,0,0
Urdefhan Blood Mage,8,3,2,1,26,140,15,18,14,17,4,2,4,6,3,2,0,16,16,0,0,0,16,0,0,18,0,16,0,0,0,0
Mummy Brute,2,4,2,1,15,60,4,10,3,6,5,-3,3,-5,0,-2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarelle Kaldrian,5,3,3,1,21,48,12,9,14,12,-5,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
Nolly Peltry,11,2,1,3,31,185,21,18,24,21,2,5,1,1,4,3,22,0,19,0,20,18,0,0,0,0,0,0,22,22,0,20
Spear Frog,0,1,2,2,14,12,6,5,7,6,-2,3,1,-4,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malarunk,5,2,1,1,22,63,13,11,9,13,3,2,2,0,4,2,0,0,10,0,0,0,11,0,0,0,0,13,0,8,0,0
Saurian Worldwatcher,18,5,2,1,43,330,34,30,33,32,7,9,6,5,8,6,35,0,33,0,0,32,32,0,34,0,0,0,0,35,34,0
Cassisian,1,1,2,3,18,20,6,7,6,4,-1,1,2,-1,1,1,6,0,0,0,0,6,0,0,0,0,0,6,0,6,0,0
Glyptodon,5,4,2,2,23,65,9,15,11,9,6,2,4,-4,2,-2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Naunet,7,4,1,2,24,120,14,18,14,12,5,3,5,0,3,3,14,0,16,0,0,0,16,0,0,0,0,0,0,14,12,0
Trilobite,-1,1,2,2,15,7,8,4,7,4,1,3,2,-5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,4,0
Murmur,7,3,3,1,25,105,10,15,16,8,2,5,4,-5,-5,-5,0,0,0,0,16,14,0,0,0,0,0,0,0,16,0,0
Charlatan,3,3,2,1,18,40,8,5,8,10,0,3,0,2,1,4,8,0,0,0,11,9,0,0,0,7,11,0,7,8,0,8
Windchaser,8,4,1,2,27,138,16,18,15,16,6,1,6,2,3,2,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Smith,3,3,2,2,17,50,5,9,8,5,3,1,2,3,0,0,0,0,8,15,0,5,0,0,0,0,0,0,8,0,0,0
Festering Gnasher,1,1,2,1,16,18,8,4,9,6,3,4,1,-3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaramuun,16,4,1,1,39,291,30,34,30,25,9,5,6,0,5,-1,0,0,31,0,0,0,0,0,0,0,0,26,0,27,0,0
Foras,19,3,1,1,43,355,33,31,31,35,0,4,2,5,4,6,33,34,0,0,37,0,35,0,0,37,0,33,0,0,0,0
Giant Tapir Snared,2,4,2,2,18,30,8,11,7,6,4,1,3,-4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0
Umasi,6,3,1,2,23,99,12,16,11,12,5,3,4,1,2,1,0,0,15,0,0,0,9,14,0,0,0,0,0,13,10,0
Shadowbound Monk Statue,7,4,2,2,26,100,13,17,10,9,6,-1,6,-5,0,-5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucrotta,5,4,1,1,21,85,11,15,9,11,6,2,4,0,2,4,0,0,13,0,13,0,0,0,0,0,0,0,0,11,0,0
Taljjae The Hero,18,4,1,2,43,400,33,27,33,30,8,9,7,6,8,9,35,0,31,0,0,0,0,0,0,0,38,0,31,0,0,0
Kobold Scout,1,2,3,1,18,16,8,5,9,6,0,4,1,0,3,1,7,0,0,3,0,0,0,0,6,0,0,0,0,7,6,0
Ancient Blue Dragon,18,5,3,1,42,370,31,32,30,33,7,4,6,7,5,7,28,33,0,0,35,35,33,0,0,0,0,0,35,28,29,0
Little Man In The Woods,6,2,1,1,24,95,12,13,17,12,4,5,3,1,2,4,14,0,14,0,14,0,0,0,0,0,0,0,0,16,0,0
Imperfect Automaton,6,3,2,2,23,85,12,16,11,14,5,3,4,3,0,2,0,11,13,13,0,0,12,0,0,0,0,0,11,10,0,0
Troll,5,4,1,1,20,115,11,17,11,7,5,2,6,-2,0,-2,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0
Artus Rodrivan,15,3,3,2,35,330,27,25,29,26,4,5,3,2,4,0,26,0,0,0,0,0,0,0,27,25,0,0,0,0,0,0
Clockwork Injector,14,3,2,2,34,250,23,23,29,19,6,8,4,-5,0,-5,29,0,25,0,0,0,0,0,0,0,0,0,0,27,0,0
Ichor Slinger,4,3,2,1,20,65,10,12,11,10,3,1,4,3,2,5,0,0,11,13,13,0,0,0,0,0,11,0,0,9,0,0
Draconal Black,20,4,2,3,45,370,36,34,31,38,10,5,8,8,10,9,0,38,0,30,35,37,35,34,34,0,0,36,32,0,32,0
Clacking Skull Swarm,10,4,2,1,29,120,18,20,19,16,-3,3,4,-5,2,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falrok,14,3,1,1,37,250,28,26,29,23,4,8,5,3,2,6,29,0,0,24,27,27,0,0,0,0,0,0,24,29,0,0
Xulgath Bomber,7,3,1,1,25,115,15,12,17,15,3,4,1,4,2,0,17,0,14,17,0,0,0,0,0,0,0,0,0,15,0,15
Grigori,7,3,1,2,23,110,15,12,15,18,1,2,1,3,2,4,0,0,0,0,17,15,0,0,0,0,17,0,16,0,0,13
Tumblak,18,3,2,1,42,305,33,33,28,31,9,5,6,2,5,9,0,0,35,0,31,0,35,0,0,0,0,29,0,31,0,0
Tenebric Giant,17,4,2,1,39,360,31,32,27,30,9,4,9,4,7,5,0,0,33,0,0,0,30,0,0,0,0,30,0,29,0,0
Scarlet Triad Bruiser,10,3,1,1,30,180,19,20,17,19,5,3,5,0,5,2,19,0,21,0,0,0,18,0,0,0,0,0,0,19,0,0
Barbed Bloodseeker,1,1,2,2,18,18,8,7,10,5,-3,4,0,-5,1,-2,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Gashadokuro,13,5,2,1,33,230,24,26,21,24,8,4,5,-3,3,3,0,0,27,0,0,0,24,0,0,0,0,0,0,0,0,0
Hobji,3,3,1,1,19,45,8,8,11,9,4,2,3,1,3,-1,0,0,9,6,0,0,0,0,0,0,0,0,0,10,0,9
Excorion Paragon,18,3,2,1,41,300,30,31,32,26,6,8,7,-3,4,0,32,0,32,0,0,0,0,0,0,0,0,0,0,32,0,0
Akuzhail,10,5,1,1,29,195,21,21,17,19,7,3,5,-3,5,0,19,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Viskithrel,15,5,2,1,37,275,27,25,27,23,8,6,4,-3,4,-1,25,0,31,0,0,0,0,0,0,0,0,0,0,0,27,0
Ilthuliak,21,6,1,1,47,450,37,38,35,35,8,5,6,4,5,5,35,36,41,0,40,0,40,0,0,0,0,0,0,35,0,0
Maliadi,17,6,3,1,40,285,29,34,25,28,9,3,9,1,6,3,0,0,36,0,28,0,28,0,29,0,0,0,0,0,29,0
Mezlan,14,3,2,2,31,260,25,25,28,23,8,6,5,4,5,5,0,0,28,0,27,0,0,0,0,24,0,0,0,28,0,0
Ankou Assassin,17,4,3,1,40,333,30,28,32,29,8,9,5,3,3,6,34,0,0,0,31,0,34,0,28,0,0,0,0,34,0,0
Sportlebore Swarm,7,4,2,2,25,85,13,15,17,13,2,6,4,-4,2,4,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
Gimmerling,12,2,3,1,34,235,21,22,25,19,4,7,4,5,3,4,0,0,0,23,25,0,0,0,21,0,0,0,0,25,0,25
Giant Hippocampus,8,5,2,2,27,170,16,18,16,14,6,4,7,-4,4,1,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Izfiitar,20,3,1,2,44,360,36,33,36,38,9,10,9,7,8,9,38,35,35,0,37,37,0,0,0,36,0,38,35,38,0,0
Branwaen,1,3,2,2,16,17,6,5,8,7,0,3,2,2,2,0,6,0,3,5,5,3,3,0,0,0,0,0,5,8,5,6
Witchfire,9,3,1,1,28,125,18,15,21,18,-5,6,0,3,3,6,17,0,0,0,19,0,21,0,0,18,0,0,0,19,0,0
Sarkorian Wolf,1,3,2,2,15,24,7,6,9,5,2,4,1,-4,2,-2,7,0,5,0,0,0,0,0,0,0,0,0,0,7,7,0
Ulistul,11,4,3,1,31,165,22,22,18,24,6,5,5,7,5,3,0,24,21,24,0,18,0,0,0,0,0,0,0,19,0,0
Giant Jellyfish,7,4,2,2,15,165,12,17,15,1,6,4,6,-5,0,-5,15,0,17,0,0,0,0,0,0,0,0,0,0,15,0,0
Poison Eater,8,3,1,1,25,150,15,19,15,13,4,3,4,0,1,1,0,0,18,0,0,0,15,0,0,0,0,14,0,0,0,0
Bharlen Sajor,11,3,2,1,32,190,21,22,24,18,5,7,7,0,3,5,0,0,24,0,0,0,22,0,0,0,0,0,0,20,20,0
Pufferfish,-1,1,2,2,12,12,4,5,3,2,2,0,2,-5,1,-2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Giant Wasp,3,4,2,2,19,45,8,9,11,6,4,4,4,-5,1,1,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Drazmorg The Damned,8,3,3,1,23,115,16,13,15,17,2,4,2,6,4,2,0,17,0,15,13,0,15,15,0,17,0,13,15,15,0,0
Injured Sewer Ooze,0,3,2,2,6,25,1,7,-1,1,2,-5,4,-5,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Sicklehand Construct,0,3,2,2,16,15,6,5,9,4,1,3,1,-5,0,-5,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Demonologist,7,3,1,1,22,100,15,13,12,15,3,1,2,4,4,0,0,16,0,0,0,11,0,0,0,0,0,15,0,0,0,0
Graveknight Warmaster,14,3,3,1,38,255,26,27,24,24,8,4,5,3,4,6,0,0,28,0,26,0,28,0,0,0,0,24,25,0,0,0
Immense Mandragora,20,6,1,1,43,400,33,34,31,35,10,5,6,0,7,6,10,0,10,0,0,0,0,0,0,0,0,0,0,12,0,0
Spellskein Consecrate,0,1,2,2,16,15,2,5,9,4,-1,3,1,-4,0,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Yeti,5,4,2,2,21,115,15,15,11,13,5,2,4,-1,4,-1,0,0,14,0,0,0,0,0,0,0,0,0,0,12,11,0
Roru,7,3,1,1,25,120,16,15,17,12,6,4,2,0,3,2,15,0,17,0,0,0,15,0,14,0,0,0,0,0,16,0
Darricus Stallit,8,3,3,1,28,122,17,14,15,15,5,1,0,1,3,4,0,0,17,0,14,16,16,0,0,0,0,0,14,0,0,0
Weak Arboreal Warden,3,4,2,2,18,60,9,11,7,9,5,1,3,1,3,1,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0
Green Man,24,3,2,2,51,525,42,43,39,42,12,9,11,7,10,8,39,0,42,0,40,40,40,0,48,0,0,0,0,41,44,0
The Amalgam,4,4,1,1,20,65,11,12,10,9,5,2,4,2,1,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0
Masu,-1,1,2,2,14,6,8,3,8,6,-4,2,-2,-4,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Ratfolk Grenadier,4,2,3,2,21,60,10,11,13,9,0,4,2,4,2,1,9,0,0,12,7,0,0,0,0,0,0,0,10,12,0,9
Muse Phantom,5,3,1,1,21,50,10,9,13,14,-5,4,2,0,3,5,0,0,0,0,14,14,0,0,0,13,16,0,0,0,0,0
Mamlambo,9,5,2,1,28,155,19,19,20,15,7,4,5,-3,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,19,17,0
Vampire Count,6,3,1,1,24,65,17,11,14,17,5,3,2,2,4,4,13,0,15,0,14,14,16,0,0,0,0,0,14,13,0,0
Adhukait,7,3,3,1,25,130,15,15,17,13,6,4,4,2,2,4,15,0,19,0,0,0,15,0,0,0,15,0,0,15,0,0
Timewarped Amalgam,1,3,2,2,16,20,4,9,7,5,3,2,4,-5,0,-4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Undead Brain Collector,7,4,1,1,24,130,17,18,12,15,6,3,5,-1,4,0,16,0,17,0,0,0,0,0,0,12,0,0,0,16,0,0
Greater Steel Mephit,4,2,2,2,21,65,12,13,6,10,5,-2,3,-2,2,-1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspis Warden,3,3,2,1,18,50,9,10,9,6,4,2,3,0,1,0,7,0,11,0,5,0,0,0,0,0,0,0,0,9,0,0
Ugvashi,3,3,2,2,19,40,8,13,6,8,4,1,4,-3,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0
Zombie Chuul,7,4,2,1,22,200,0,18,10,13,7,0,6,-5,0,-1,0,0,18,0,0,0,0,0,0,0,0,0,0,11,0,0
Icicle Snake,2,2,2,2,18,35,7,8,9,5,1,3,2,-4,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0
Girtablilu Seer,12,4,2,2,33,210,25,22,19,25,6,5,6,3,7,3,0,0,24,0,0,0,23,0,0,0,0,25,0,0,23,0
Dvorovoi,3,2,1,2,18,44,12,10,9,7,3,2,1,-1,0,1,0,0,0,8,0,0,0,0,9,0,0,0,0,9,0,0
Forge-Spurned,5,3,2,1,22,75,11,15,9,11,5,2,4,1,2,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
Young Silver Dragon,10,4,3,3,31,200,20,20,17,21,6,2,3,2,4,4,14,0,22,0,0,18,20,20,0,0,0,18,14,0,0,0
Giant Aukashungi,14,5,1,1,36,300,24,28,25,21,7,7,6,-4,3,-2,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
Hound Of Tindalos,7,3,2,1,25,90,17,13,17,15,4,6,2,6,4,2,17,0,15,0,0,0,0,0,0,17,0,0,0,17,13,0
Fleshforge Prototype Roots,5,3,2,2,22,75,9,15,12,9,5,3,4,-3,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0
Choral,6,2,2,3,24,100,14,10,14,16,1,4,2,3,4,5,12,0,0,0,0,15,0,0,0,0,17,14,0,0,0,0
Shae,4,3,2,2,21,45,10,9,11,10,3,5,1,3,2,3,13,0,0,0,9,0,0,0,0,11,0,0,0,13,0,0
Deep Gnome Scout,1,2,2,2,17,18,7,7,9,5,2,4,2,0,2,-1,7,0,0,0,0,0,0,0,5,0,0,0,0,7,5,0
Etward Ritalson,9,3,2,1,28,140,18,16,18,20,1,3,1,4,3,2,0,17,0,19,18,0,0,20,0,21,0,0,19,0,18,0
Caligni Stalker,4,3,1,2,21,60,10,10,13,8,2,5,2,-1,2,1,13,0,8,0,0,0,0,0,0,0,0,0,0,13,0,11
Golarion's Finest Mingyu,13,3,2,2,33,230,23,23,23,23,5,4,3,2,3,0,26,0,26,0,0,0,0,0,0,23,0,0,0,0,0,0
Lesser Manifestation Of Dahak,22,6,1,1,50,500,39,36,33,39,10,5,9,5,6,7,37,42,42,0,42,37,45,0,0,0,0,0,0,35,0,0
Hyena,1,3,2,2,16,20,6,7,8,4,3,3,2,-4,1,-2,6,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Eleukas,2,3,3,3,19,32,10,11,9,6,4,1,3,0,0,2,0,0,8,0,0,8,0,0,0,0,0,0,6,0,6,0
Mutant Wolf,3,3,2,2,19,45,9,9,11,7,4,4,2,-4,2,-2,9,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0
Enduring Zombie Hulk,8,5,2,1,24,200,11,18,12,15,8,0,4,-5,1,-2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
War Sauropeltas,12,4,2,2,34,220,23,25,20,22,7,2,7,-4,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantium Golem Acid,20,6,2,2,47,325,36,35,32,32,10,8,7,-5,8,-5,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninth Army Ruffian,2,3,1,1,18,32,8,9,8,6,0,2,2,0,4,4,0,0,7,0,0,0,6,0,0,0,0,0,0,6,0,0
The Morrowkin,14,3,2,1,34,320,24,28,25,25,8,7,7,5,4,4,0,0,26,0,24,0,28,0,0,25,0,0,0,25,0,0
Denufair,-1,1,1,2,16,6,5,4,8,3,0,4,2,-1,1,-1,6,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0
Nashaxian The Bored,3,3,3,1,19,35,9,11,9,9,3,2,4,-2,2,1,7,0,10,0,0,0,6,0,0,0,0,7,0,7,0,0
Phoenix,15,6,2,3,36,300,27,27,31,28,6,7,5,7,6,6,30,0,27,0,0,31,27,0,25,0,0,0,0,0,0,0
Ancient Brass Dragon,16,5,1,3,39,325,30,30,29,30,7,5,6,4,4,5,27,0,31,0,27,29,0,0,0,0,0,0,28,0,0,0
Astronomer,2,3,2,2,15,23,10,6,5,9,0,1,2,4,3,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Sun Warrior Brigade,12,6,3,1,33,216,22,24,18,23,7,2,6,2,5,4,0,0,23,0,0,0,22,0,0,0,0,23,0,0,0,0
Server,-1,3,2,2,16,7,3,2,7,5,1,4,0,0,1,2,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
Umbral Cu Sith,9,4,2,2,27,190,19,18,20,19,7,5,5,-3,4,6,18,0,20,0,0,0,0,0,0,0,0,0,0,20,19,0
Dero Magister,5,2,1,1,22,65,8,10,13,10,1,4,2,3,-1,5,0,0,0,12,0,0,0,8,0,12,0,0,0,11,0,0
Yoh Souran,15,3,1,3,38,265,25,26,28,23,3,7,3,5,0,3,28,0,24,0,0,0,0,0,0,0,0,0,28,0,0,0
Ghost Commoner,4,3,1,1,20,30,10,8,11,8,-5,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
Ifrit Pyrochemist,1,3,3,1,18,18,3,5,6,3,0,3,2,3,0,1,6,0,0,6,0,0,4,0,3,0,0,0,0,0,3,6
Attic Whisperer,4,2,2,1,21,60,10,8,13,12,0,5,0,2,4,3,0,0,0,0,11,0,0,0,0,0,0,0,10,13,0,0
Immature Giant Gecko,0,3,2,2,14,10,5,4,8,3,2,3,1,-4,2,-2,6,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0
Reginald Vancaskerkin,18,3,2,1,42,350,33,26,29,28,6,3,0,5,2,8,32,0,0,0,34,34,0,0,0,31,0,28,0,0,0,29
